customers  sold      lost   fraction_served   overstock  end_stock   profit
   104     103         1         0.990         1975         2       1852.50
   106     102         4         0.962         1474         3       1852.60
   102      98         4         0.961         1359         7       1784.10
   103     100         3         0.971         2179         5       1752.10
    87      87         0         1.000         4907        18       1249.30
   119     104        15         0.874          966         1       1833.40
    95      95         0         1.000         4456        10       1454.40
   106     100         6         0.943         1971         5       1742.90
   116      97        19         0.836         1381         8       1611.90
    97      93         4         0.959         5684        12       1251.60
   102      97         5         0.951         2264         8       1663.60
   101      99         2         0.980         4069         6       1553.10
   103     100         3         0.971         2311         5       1738.90
   110     103         7         0.936          879         2       1902.10
   102      97         5         0.951         3125         8       1577.50
   122     105        17         0.861         1146         0       1815.40
   101      99         2         0.980         2353         6       1724.70
   110     102         8         0.927         2644         3       1695.60
   108     101         7         0.935         1495         4       1800.50
   102     100         2         0.980         3555         5       1624.50
    97      97         0         1.000         5325         8       1407.50
    95      95         0         1.000         4608        10       1439.20
   105     101         4         0.962         2860         4       1694.00
   109     105         4         0.963         2227         0       1837.30
   106     102         4         0.962         1032         3       1896.80
   101      92         9         0.911         2295        13       1520.50
   102      96         6         0.941          972         9       1762.80
   112     101        11         0.902          570         4       1853.00
   106     104         2         0.981         3615         1       1698.50
   107     101         6         0.944          952         4       1864.80
   106     104         2         0.981         5310         1       1529.00
   114     105         9         0.921         1679         0       1842.10
   110     103         7         0.936         1041         2       1885.90
   113     101        12         0.894          702         4       1829.80
   112     102        10         0.911         1861         3       1753.90
   103     103         0         1.000         2819         2       1778.10
   103      99         4         0.961         1918         6       1748.20
   104     102         2         0.981         1651         3       1854.90
   119     103        16         0.866          770         2       1823.00
   106     103         3         0.972         4434         2       1586.60
   114     101        13         0.886         1743         4       1715.70
    92      91         1         0.989         5309        14       1279.10
   102     102         0         1.000         2697         3       1770.30
   104     103         1         0.990         3096         2       1740.40
   108      96        12         0.889         2891         9       1510.90
   103     100         3         0.971         1909         5       1779.10
    89      84         5         0.944         8078        21        822.20
   115     102        13         0.887          906         3       1819.40
   106      98         8         0.925          928         7       1787.20
   108      94        14         0.870         2111        11       1528.90
   100      95         5         0.950         2033        10       1646.70
    94      94         0         1.000         8671        11       1012.90
   109     103         6         0.945         1467         2       1853.30
   100      95         5         0.950         2516        10       1598.40
   112     102        10         0.911         1298         3       1810.20
    87      87         0         1.000         8396        18        900.40
    93      91         2         0.978         5863        14       1213.70
   101      96         5         0.950         1878         9       1682.20
   112     105         7         0.938         1223         0       1907.70
    97      92         5         0.948         2963        13       1493.70
   102     101         1         0.990         3014         4       1708.60
    98      96         2         0.980         2134         9       1686.60
    99      98         1         0.990         4825         7       1467.50
   118     104        14         0.881          769         1       1863.10
   116     102        14         0.879         1132         3       1786.80
   105      98         7         0.933         2168         7       1673.20
   115     101        14         0.878         1064         4       1773.60
   116     103        13         0.888          714         2       1858.60
    83      83         0         1.000        10030        22        657.00
   103      99         4         0.961         2926         6       1647.40
   107     101         6         0.944         1920         4       1768.00
   115     104        11         0.904          957         1       1874.30
    92      92         0         1.000         4836        13       1356.40
   108     104         4         0.963         1578         1       1882.20
    97      97         0         1.000         3838         8       1556.20
   110     100        10         0.909         1457         5       1754.30
   117     103        14         0.880          995         2       1820.50
   117     105        12         0.897          946         0       1885.40
    97      97         0         1.000         4307         8       1509.30
   106      95        11         0.896         3589        10       1431.10
   111      98        13         0.883         1052         7       1724.80
    93      93         0         1.000         2333        12       1626.70
   100      99         1         0.990         1951         6       1774.90
    99      99         0         1.000         5416         6       1438.40
    93      93         0         1.000         4272        12       1432.80
   115     103        12         0.896         1143         2       1825.70
    99      99         0         1.000         4302         6       1549.80
   109     103         6         0.945         1747         2       1825.30
   107     104         3         0.972         2489         1       1801.10
   116     103        13         0.888          871         2       1842.90
   101     100         1         0.990         4534         5       1536.60
   100     100         0         1.000         2809         5       1719.10
   117     101        16         0.863         1238         4       1736.20
    94      94         0         1.000         8101        11       1069.90
   104     101         3         0.971         1044         4       1885.60
   101     101         0         1.000         2889         4       1731.10
   116      99        17         0.853          853         6       1724.70
    99      99         0         1.000         4716         6       1508.40
    97      97         0         1.000         3894         8       1550.60
   113     105         8         0.929         3856         0       1634.40
   119     105        14         0.882         1076         0       1852.40
   104     100         4         0.962         1539         5       1806.10
   107      97        10         0.907         2445         8       1595.50
   104      98         6         0.942         3238         7       1576.20
   118     105        13         0.890         1177         0       1852.30
   100      91         9         0.910         2131        14       1516.90
   111     104         7         0.937         1156         1       1894.40
   100      98         2         0.980         5016         7       1438.40
    94      93         1         0.989         6508        12       1199.20
   106     101         5         0.953         1888         4       1781.20
   112     105         7         0.938         1542         0       1875.80
    98      98         0         1.000         1884         7       1771.60
   100      97         3         0.970         3102         8       1599.80
    89      88         1         0.989         5719        17       1178.10
    95      88         7         0.926         4465        17       1243.50
    99      98         1         0.990         2910         7       1659.00
   116     102        14         0.879         1371         3       1762.90
   109     103         6         0.945         1116         2       1888.40
   101     101         0         1.000         2269         4       1793.10
   102      95         7         0.931         1855        10       1644.50
    96      96         0         1.000         4641         9       1455.90
   117     104        13         0.889         1651         1       1784.90
   116     105        11         0.905         1639         0       1826.10
   111      98        13         0.883         1765         7       1653.50
   111     102         9         0.919         1408         3       1809.20
    95      91         4         0.958         2929        14       1487.10
   110     100        10         0.909         1482         5       1751.80
   106     105         1         0.991         2279         0       1862.10
   109     101         8         0.927         2254         4       1714.60
   120      99        21         0.825          956         6       1674.40
    98      96         2         0.980         2060         9       1694.00
   104     103         1         0.990         3234         2       1726.60
   101      96         5         0.950         3883         9       1481.70
   100     100         0         1.000         3623         5       1637.70
    95      91         4         0.958         8596        14        920.40
   115     103        12         0.896          637         2       1876.30
    88      86         2         0.977         5837        19       1116.30
   106     103         3         0.972         1349         2       1895.10
   113     101        12         0.894         2476         4       1652.40
   108     105         3         0.972         2329         0       1837.10
    98      96         2         0.980         1933         9       1706.70
   103     100         3         0.971         3706         5       1599.40
    96      93         3         0.969         1961        12       1633.90
   119     104        15         0.874         1443         1       1785.70
   107      97        10         0.907         2592         8       1580.80
   112     104         8         0.929          732         1       1926.80
   107     104         3         0.972         2152         1       1834.80
    94      93         1         0.989         4259        12       1424.10
   102     100         2         0.980         2956         5       1684.40
   104     100         4         0.962         1322         5       1827.80
   108     101         7         0.935         1012         4       1848.80
    90      90         0         1.000         8330        15        967.00
